timestamp,current_green_lane,countdown,cycle_elapsed,lane1_count,lane2_count,lane3_count,lane4_count,lane1_waiting,lane2_waiting,lane3_waiting,lane4_waiting,lane1_priority,lane2_priority,lane3_priority,lane4_priority
2026-02-19T21:06:42,1,15,15,0,0,0,0,0.0,0.21,0.21,0.21,0.0,0.09,0.09,0.09
2026-02-19T21:06:43,1,14,15,0,0,0,0,0.0,1.32,1.32,1.32,0.0,0.53,0.53,0.53
2026-02-19T21:06:44,1,13,15,0,0,0,0,0.0,2.43,2.43,2.43,0.0,0.97,0.97,0.97
2026-02-19T21:06:45,1,12,15,0,0,0,0,0.0,3.53,3.53,3.53,0.0,1.41,1.41,1.41
2026-02-19T21:06:46,1,11,15,0,0,0,0,0.0,4.63,4.63,4.63,0.0,1.85,1.85,1.85
2026-02-19T21:06:47,1,10,15,0,0,0,0,0.0,5.74,5.74,5.74,0.0,2.3,2.3,2.3
2026-02-19T21:06:48,1,9,15,0,0,0,0,0.0,6.84,6.84,6.84,0.0,2.74,2.74,2.74
2026-02-19T21:06:49,1,8,15,0,0,0,0,0.0,7.93,7.93,7.93,0.0,3.17,3.17,3.17
2026-02-19T21:06:51,1,6,15,0,0,0,0,0.0,9.0,9.0,9.0,0.0,3.6,3.6,3.6
2026-02-19T21:06:52,1,5,15,0,0,0,0,0.0,10.1,10.1,10.1,0.0,4.04,4.04,4.04
2026-02-19T21:06:53,1,4,15,0,0,0,0,0.0,11.19,11.19,11.19,0.0,4.48,4.48,4.48
2026-02-19T21:06:54,1,3,15,0,0,0,0,0.0,12.3,12.3,12.3,0.0,4.92,4.92,4.92
2026-02-19T21:06:55,1,2,15,0,0,0,0,0.0,13.41,13.41,13.41,0.0,5.37,5.37,5.37
2026-02-19T21:06:56,1,1,15,0,0,0,0,0.0,14.5,14.5,14.5,0.0,5.8,5.8,5.8
2026-02-19T21:06:57,2,15,30,0,0,0,0,0.56,0.0,15.62,15.62,0.22,0.0,6.25,6.25
2026-02-19T21:06:58,2,14,30,0,0,0,0,1.65,0.0,16.71,16.71,0.66,0.0,6.69,6.69
2026-02-19T21:06:59,2,13,30,0,0,0,0,2.77,0.0,17.83,17.83,1.11,0.0,7.13,7.13
2026-02-19T21:07:01,2,12,30,0,0,0,0,3.89,0.0,18.95,18.95,1.55,0.0,7.58,7.58
2026-02-19T21:07:02,2,10,30,0,0,0,0,5.0,0.0,20.06,20.06,2.0,0.0,8.03,8.03
2026-02-19T21:07:03,2,9,30,0,0,0,0,6.1,0.0,21.16,21.16,2.44,0.0,8.46,8.46
2026-02-19T21:07:04,2,8,30,0,0,0,0,7.18,0.0,22.24,22.24,2.87,0.0,8.9,8.9
2026-02-19T21:07:05,2,7,30,0,0,0,0,8.29,0.0,23.35,23.35,3.32,0.0,9.34,9.34
2026-02-19T21:07:06,2,6,30,0,0,0,0,9.36,0.0,24.42,24.42,3.74,0.0,9.77,9.77
2026-02-19T21:07:07,2,5,30,0,0,0,0,10.46,0.0,25.52,25.52,4.18,0.0,10.21,10.21
2026-02-19T21:07:08,2,4,30,0,0,0,0,11.54,0.0,26.6,26.6,4.62,0.0,10.64,10.64
2026-02-19T21:07:09,2,3,30,0,0,0,0,12.62,0.0,27.68,27.68,5.05,0.0,11.07,11.07
2026-02-19T21:07:10,2,2,30,0,0,0,0,13.72,0.0,28.78,28.78,5.49,0.0,11.51,11.51
2026-02-19T21:07:11,2,1,30,0,0,0,0,14.81,0.0,29.87,29.87,5.92,0.0,11.95,11.95
2026-02-19T21:07:12,1,15,15,0,0,0,0,0.0,0.25,0.25,0.25,0.0,0.1,0.1,0.1
2026-02-19T21:07:13,1,15,15,0,0,0,0,0.0,0.25,0.25,0.25,0.0,0.1,0.1,0.1
2026-02-19T21:07:15,1,14,15,0,0,0,0,0.0,1.73,1.73,1.73,0.0,0.69,0.69,0.69
2026-02-19T21:07:16,1,13,15,0,0,0,0,0.0,2.82,2.82,2.82,0.0,1.13,1.13,1.13
2026-02-19T21:07:17,1,12,15,0,0,0,0,0.0,3.9,3.9,3.9,0.0,1.56,1.56,1.56
2026-02-19T21:07:18,1,11,15,0,0,0,0,0.0,4.99,4.99,4.99,0.0,1.99,1.99,1.99
